Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
222,Exit Long,Open,,,,,,,,,,,
222,Entry Long,Buy,2024-09-12 00:00,58256,,,,,,,,,
221,Exit Short,Close Sell,2024-09-12 00:00,58256,81222.907611,95112024.81,1.97,4802325709.19,2.02,558894827.27,11.58,142546202.86,2.95
221,Entry Short,Sell,2024-08-27 20:00,59427,81222.907611,95112024.81,1.97,4802325709.19,2.02,558894827.27,11.58,142546202.86,2.95
220,Exit Long,Close Buy,2024-08-27 20:00,59427,96126.455644,-118620046.26,-2.03,4707213684.38,-2.46,426993715.97,7.32,247141117.46,4.24
220,Entry Long,Buy,2024-08-20 00:00,60661,96126.455644,-118620046.26,-2.03,4707213684.38,-2.46,426993715.97,7.32,247141117.46,4.24
219,Exit Short,Close Sell,2024-08-20 00:00,60661,126056.633013,-1004293195.21,-15.12,4825833730.64,-17.22,392918525.10,5.92,1264978312.29,19.04
219,Entry Short,Sell,2024-08-05 04:00,52694,126056.633013,-1004293195.21,-15.12,4825833730.64,-17.22,392918525.10,5.92,1264978312.29,19.04
218,Exit Long,Close Buy,2024-08-05 04:00,52694,99803.333025,-811301294.16,-13.37,5830126925.86,-12.21,917492040.50,15.11,1115402049.89,18.37
218,Entry Long,Buy,2024-07-14 20:00,60823,99803.333025,-811301294.16,-13.37,5830126925.86,-12.21,917492040.50,15.11,1115402049.89,18.37
217,Exit Short,Close Sell,2024-07-14 20:00,60823,85221.226784,572090095.40,9.94,6641428220.02,9.42,1191904077.80,20.71,210581651.38,3.66
217,Entry Short,Sell,2024-06-11 04:00,67536,85221.226784,572090095.40,9.94,6641428220.02,9.42,1191904077.80,20.71,210581651.38,3.66
216,Exit Long,Close Buy,2024-06-11 04:00,67536,85833.520307,314837352.49,5.74,6069338124.62,5.47,694393179.28,12.67,316897356.97,5.78
216,Entry Long,Buy,2024-05-04 08:00,63868,85833.520307,314837352.49,5.74,6069338124.62,5.47,694393179.28,12.67,316897356.97,5.78
215,Exit Short,Close Sell,2024-05-04 08:00,63868,83328.914417,273485497.12,4.89,5754500772.13,4.99,887452938.54,15.86,64996553.25,1.16
215,Entry Short,Sell,2024-04-12 20:00,67150,83328.914417,273485497.12,4.89,5754500772.13,4.99,887452938.54,15.86,64996553.25,1.16
214,Exit Long,Close Buy,2024-04-12 20:00,67150,84214.635097,-113521328.11,-1.97,5481015275.01,-2.03,358585916.24,6.22,275213427.50,4.77
214,Entry Long,Buy,2024-04-04 16:00,68498,84214.635097,-113521328.11,-1.97,5481015275.01,-2.03,358585916.24,6.22,275213427.50,4.77
213,Exit Short,Close Sell,2024-04-04 16:00,68498,87815.975539,-172997471.81,-2.96,5594536603.12,-3.00,177124822.66,3.03,245884731.51,4.21
213,Entry Short,Sell,2024-04-02 04:00,66528,87815.975539,-172997471.81,-2.96,5594536603.12,-3.00,177124822.66,3.03,245884731.51,4.21
212,Exit Long,Close Buy,2024-04-02 04:00,66528,90971.784901,-73687145.77,-1.20,5767534074.94,-1.26,401731402.12,6.56,120537614.99,1.97
212,Entry Long,Buy,2024-03-25 00:00,67338,90971.784901,-73687145.77,-1.20,5767534074.94,-1.26,401731402.12,6.56,120537614.99,1.97
211,Exit Short,Close Sell,2024-03-25 00:00,67338,65626.291295,-283636830.98,-6.86,5841221220.71,-4.63,148052913.16,3.58,343422382.35,8.30
211,Entry Short,Sell,2024-03-19 08:00,63016,65626.291295,-283636830.98,-6.86,5841221220.71,-4.63,148052913.16,3.58,343422382.35,8.30
210,Exit Long,Close Buy,2024-03-19 08:00,63016,95268.604223,1990351679.43,49.60,6124858051.68,48.13,3017156695.74,75.18,47157959.09,1.18
210,Entry Long,Buy,2024-01-27 20:00,42124,95268.604223,1990351679.43,49.60,6124858051.68,48.13,3017156695.74,75.18,47157959.09,1.18
