Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
454,Exit Long,Open,,,,,,,,,,,
454,Entry Long,Buy,2024-09-12 00:00,58240.40,,,,,,,,,
453,Exit Short,Close Sell,2024-09-12 00:00,58240.40,2.691416,3190.94,2.00,329964.17,0.97,18457.60,11.54,4678.27,2.93
453,Entry Short,Sell,2024-08-27 20:00,59426.00,2.691416,3190.94,2.00,329964.17,0.97,18457.60,11.54,4678.27,2.93
452,Exit Short,TG 1,2024-09-06 12:00,54671.92,2.691415,12795.20,8.00,326773.23,4.06,12795.20,8.00,4678.27,2.93
452,Entry Short,Sell,2024-08-27 20:00,59426.00,2.691415,12795.20,8.00,326773.23,4.06,12795.20,8.00,4678.27,2.93
451,Exit Long,SL1,2024-08-27 12:00,61799.62,5.176085,-11601.88,-3.50,313978.02,-3.55,4953.25,1.49,11601.88,3.50
451,Entry Long,Buy,2024-08-23 20:00,64041.06,5.176085,-11601.88,-3.50,313978.02,-3.55,4953.25,1.49,11601.88,3.50
450,Exit Long,SL1,2024-08-20 12:00,58804.40,5.637027,-12022.71,-3.50,325579.91,-3.55,300.74,0.09,12022.71,3.50
450,Entry Long,Buy,2024-08-20 04:00,60937.21,5.637027,-12022.71,-3.50,325579.91,-3.55,300.74,0.09,12022.71,3.50
449,Exit Short,SL,2024-08-13 16:00,60778.95,6.061674,-12458.74,-3.50,337602.62,-3.55,6373.30,1.79,12458.74,3.50
449,Entry Short,Sell,2024-08-11 20:00,58723.62,6.061674,-12458.74,-3.50,337602.62,-3.55,6373.30,1.79,12458.74,3.50
448,Exit Short,SL,2024-08-05 12:00,54506.98,7.004328,-12910.66,-3.50,350061.36,-3.55,21798.80,5.91,12910.66,3.50
448,Entry Short,Sell,2024-08-05 04:00,52663.74,7.004328,-12910.66,-3.50,350061.36,-3.55,21798.80,5.91,12910.66,3.50
447,Exit Long,SL1,2024-08-03 00:00,60663.62,2.869352,-6313.26,-3.50,362972.01,-1.70,20521.61,11.38,6313.26,3.50
447,Entry Long,Buy,2024-07-15 04:00,62863.86,2.869352,-6313.26,-3.50,362972.01,-1.70,20521.61,11.38,6313.26,3.50
446,Exit Long,TG 1,2024-07-21 20:00,67892.97,2.869352,14430.29,8.00,369285.28,4.06,14430.29,8.00,1550.14,0.86
446,Entry Long,Buy,2024-07-15 04:00,62863.86,2.869352,14430.29,8.00,369285.28,4.06,14430.29,8.00,1550.14,0.86
445,Exit Short,SL,2024-07-05 12:00,56302.71,6.872245,-13084.48,-3.50,354854.99,-3.55,3487.05,0.93,13084.48,3.50
445,Entry Short,Sell,2024-07-05 04:00,54398.75,6.872245,-13084.48,-3.50,354854.99,-3.55,3487.05,0.93,13084.48,3.50
444,Exit Short,Close Sell,2024-07-04 04:00,58156.45,2.613894,18717.78,10.96,367939.47,5.34,19392.04,11.36,5046.93,2.96
444,Entry Short,Sell,2024-06-17 12:00,65317.33,2.613894,18717.78,10.96,367939.47,5.34,19392.04,11.36,5046.93,2.96
443,Exit Short,TG 1,2024-06-24 16:00,60091.94,2.613894,13658.62,8.00,349221.69,4.06,13658.62,8.00,5046.93,2.96
443,Entry Short,Sell,2024-06-17 12:00,65317.33,2.613894,13658.62,8.00,349221.69,4.06,13658.62,8.00,5046.93,2.96
442,Exit Short,SL,2024-06-12 12:00,69907.20,5.345483,-12636.83,-3.50,335563.07,-3.62,7710.91,2.14,12636.83,3.50
442,Entry Short,Sell,2024-06-11 04:00,67543.18,5.345483,-12636.83,-3.50,335563.07,-3.62,7710.91,2.14,12636.83,3.50
441,Exit Long,Close Buy,2024-06-11 04:00,67543.18,5.242602,-6948.91,-1.92,348199.90,-1.95,16065.43,4.45,7986.06,2.21
441,Entry Long,Buy,2024-06-03 04:00,68868.65,5.242602,-6948.91,-1.92,348199.90,-1.95,16065.43,4.45,7986.06,2.21
440,Exit Long,Close Buy,2024-05-25 20:00,69273.93,2.629897,16565.17,10.00,355148.81,4.88,23615.21,14.26,4842.38,2.92
440,Entry Long,Buy,2024-05-13 12:00,62975.14,2.629897,16565.17,10.00,355148.81,4.88,23615.21,14.26,4842.38,2.92
439,Exit Long,TG 1,2024-05-20 16:00,68013.16,2.629897,13249.47,8.00,338583.64,4.06,13249.47,8.00,4842.38,2.92
439,Entry Long,Buy,2024-05-13 12:00,62975.14,2.629897,13249.47,8.00,338583.64,4.06,13249.47,8.00,4842.38,2.92
438,Exit Long,SL1,2024-05-08 20:00,61655.33,5.246322,-11731.88,-3.50,325334.17,-3.47,8388.87,2.50,11731.88,3.50
438,Entry Long,Buy,2024-05-04 08:00,63891.54,5.246322,-11731.88,-3.50,325334.17,-3.47,8388.87,2.50,11731.88,3.50
437,Exit Short,Close Sell,2024-05-04 08:00,63891.54,2.400618,7772.53,4.82,337066.05,2.35,25427.18,15.78,1980.92,1.23
437,Entry Short,Sell,2024-04-12 20:00,67129.26,2.400618,7772.53,4.82,337066.05,2.35,25427.18,15.78,1980.92,1.23
436,Exit Short,TG 1,2024-04-13 20:00,61758.91,2.400618,12892.16,8.00,329293.52,4.06,12892.16,8.00,1980.92,1.23
436,Entry Short,Sell,2024-04-12 20:00,67129.26,2.400618,12892.16,8.00,329293.52,4.06,12892.16,8.00,1980.92,1.23
435,Exit Long,SL1,2024-04-09 08:00,69856.02,4.613825,-11689.77,-3.50,316401.36,-3.55,1677.13,0.50,11689.77,3.50
435,Entry Long,Buy,2024-04-08 08:00,72389.66,4.613825,-11689.77,-3.50,316401.36,-3.55,1677.13,0.50,11689.77,3.50
434,Exit Long,SL1,2024-04-05 12:00,66091.47,5.0535,-12113.80,-3.50,328091.13,-3.55,1306.13,0.38,12113.80,3.50
434,Entry Long,Buy,2024-04-04 16:00,68488.58,5.0535,-12113.80,-3.50,328091.13,-3.55,1306.13,0.38,12113.80,3.50
433,Exit Short,SL,2024-04-04 16:00,68821.73,5.464985,-12718.71,-3.50,340204.93,-3.59,10753.67,2.96,12718.71,3.50
433,Entry Short,Sell,2024-04-02 04:00,66494.42,5.464985,-12718.71,-3.50,340204.93,-3.59,10753.67,2.96,12718.71,3.50
